retrieved_at,car_park,occupied,vacant,total_occupied,total_vacant
2026-07-13 22:00:47,F,152,1394,524,8720
2026-07-13 22:00:47,E,77,1268,524,8720
2026-07-13 22:00:47,A,65,3160,524,8720
2026-07-13 22:00:47,C,117,1931,524,8720
2026-07-13 22:30:44,B,100,980,463,8781
2026-07-13 22:30:44,F,139,1407,463,8781
2026-07-13 22:30:44,E,63,1282,463,8781
2026-07-13 22:30:44,A,60,3165,463,8781
2026-07-13 22:30:44,C,101,1947,463,8781
2026-07-13 23:00:49,B,88,992,429,8815
2026-07-13 23:00:49,F,127,1419,429,8815
2026-07-13 23:00:49,E,60,1285,429,8815
2026-07-13 23:00:49,A,59,3166,429,8815
2026-07-13 23:00:49,C,95,1953,429,8815
2026-07-13 23:22:16,B,78,1002,409,8835
2026-07-13 23:22:16,F,123,1423,409,8835
2026-07-13 23:22:16,E,58,1287,409,8835
2026-07-13 23:22:16,A,59,3166,409,8835
2026-07-13 23:22:16,C,91,1957,409,8835
2026-07-13 23:30:44,B,77,1003,406,8838
2026-07-13 23:30:44,F,123,1423,406,8838
2026-07-13 23:30:44,E,56,1289,406,8838
2026-07-13 23:30:44,A,58,3167,406,8838
2026-07-13 23:30:44,C,92,1956,406,8838
2026-07-14 00:00:47,B,64,1016,397,8847
2026-07-14 00:00:47,F,121,1425,397,8847
2026-07-14 00:00:47,E,54,1291,397,8847
2026-07-14 00:00:47,A,60,3165,397,8847
2026-07-14 00:00:47,C,98,1950,397,8847
2026-07-14 00:30:46,B,54,1026,389,8855
2026-07-14 00:30:46,F,127,1419,389,8855
2026-07-14 00:30:46,E,49,1296,389,8855
2026-07-14 00:30:46,A,60,3165,389,8855
2026-07-14 00:30:46,C,99,1949,389,8855
2026-07-14 01:00:51,B,43,1037,375,8869
2026-07-14 01:00:51,F,125,1421,375,8869
2026-07-14 01:00:51,E,49,1296,375,8869
2026-07-14 01:00:51,A,61,3164,375,8869
2026-07-14 01:00:51,C,97,1951,375,8869
2026-07-14 01:30:45,B,38,1042,362,8882
2026-07-14 01:30:45,F,123,1423,362,8882
2026-07-14 01:30:45,E,49,1296,362,8882
2026-07-14 01:30:45,A,60,3165,362,8882
2026-07-14 01:30:45,C,92,1956,362,8882
2026-07-14 02:00:52,B,38,1042,363,8881
2026-07-14 02:00:52,F,123,1423,363,8881
2026-07-14 02:00:52,E,50,1295,363,8881
2026-07-14 02:00:52,A,60,3165,363,8881
2026-07-14 02:00:52,C,92,1956,363,8881
2026-07-14 02:01:30,B,38,1042,362,8882
2026-07-14 02:01:30,F,123,1423,362,8882
2026-07-14 02:01:30,E,50,1295,362,8882
2026-07-14 02:01:30,A,59,3166,362,8882
2026-07-14 02:01:30,C,92,1956,362,8882
2026-07-14 02:30:44,B,39,1041,365,8879
2026-07-14 02:30:44,F,123,1423,365,8879
2026-07-14 02:30:44,E,50,1295,365,8879
2026-07-14 02:30:44,A,59,3166,365,8879
2026-07-14 02:30:44,C,94,1954,365,8879
2026-07-14 03:00:52,B,39,1041,363,8881
2026-07-14 03:00:52,F,122,1424,363,8881
2026-07-14 03:00:52,E,49,1296,363,8881
2026-07-14 03:00:52,A,60,3165,363,8881
2026-07-14 03:00:52,C,93,1955,363,8881
2026-07-14 03:30:43,B,38,1042,362,8882
2026-07-14 03:30:43,F,123,1423,362,8882
2026-07-14 03:30:43,E,51,1294,362,8882
2026-07-14 03:30:43,A,58,3167,362,8882
2026-07-14 03:30:43,C,92,1956,362,8882
2026-07-14 04:00:51,B,39,1041,364,8880
2026-07-14 04:00:51,F,123,1423,364,8880
2026-07-14 04:00:51,E,51,1294,364,8880
2026-07-14 04:00:51,A,57,3168,364,8880
2026-07-14 04:00:51,C,94,1954,364,8880
2026-07-14 04:14:53,B,39,1041,363,8881
2026-07-14 04:14:53,F,122,1424,363,8881
2026-07-14 04:14:53,E,51,1294,363,8881
2026-07-14 04:14:53,A,57,3168,363,8881
2026-07-14 04:14:53,C,94,1954,363,8881
2026-07-14 04:30:48,B,39,1041,362,8882
2026-07-14 04:30:48,F,122,1424,362,8882
2026-07-14 04:30:48,E,50,1295,362,8882
2026-07-14 04:30:48,A,57,3168,362,8882
2026-07-14 04:30:48,C,94,1954,362,8882
2026-07-14 05:00:51,B,39,1041,367,8877
2026-07-14 05:00:51,F,122,1424,367,8877
2026-07-14 05:00:51,E,51,1294,367,8877
2026-07-14 05:00:51,A,61,3164,367,8877
2026-07-14 05:00:51,C,94,1954,367,8877
2026-07-14 05:30:45,B,39,1041,378,8866
2026-07-14 05:30:45,F,127,1419,378,8866
2026-07-14 05:30:45,E,55,1290,378,8866
2026-07-14 05:30:45,A,60,3165,378,8866
2026-07-14 05:30:45,C,97,1951,378,8866
2026-07-14 05:54:52,B,40,1040,426,8818
2026-07-14 05:54:52,F,144,1402,426,8818
2026-07-14 05:54:52,E,63,1282,426,8818
2026-07-14 05:54:52,A,64,3161,426,8818
2026-07-14 05:54:52,C,115,1933,426,8818
2026-07-14 06:00:52,B,40,1040,455,8789
2026-07-14 06:00:52,F,150,1396,455,8789
2026-07-14 06:00:52,E,68,1277,455,8789
2026-07-14 06:00:52,A,68,3157,455,8789
2026-07-14 06:00:52,C,129,1919,455,8789
2026-07-14 06:30:45,B,39,1041,521,8723
2026-07-14 06:30:45,F,162,1384,521,8723
2026-07-14 06:30:45,E,88,1257,521,8723
2026-07-14 06:30:45,A,86,3139,521,8723
2026-07-14 06:30:45,C,146,1902,521,8723
2026-07-14 06:45:38,B,38,1042,561,8683
2026-07-14 06:45:38,F,170,1376,561,8683
2026-07-14 06:45:38,E,99,1246,561,8683
2026-07-14 06:45:38,A,95,3130,561,8683
2026-07-14 06:45:38,C,159,1889,561,8683
2026-07-14 07:00:50,B,40,1040,718,8526
2026-07-14 07:00:50,F,203,1343,718,8526
2026-07-14 07:00:50,E,117,1228,718,8526
2026-07-14 07:00:50,A,132,3093,718,8526
2026-07-14 07:00:50,C,226,1822,718,8526
2026-07-14 07:30:40,B,39,1041,883,8361
2026-07-14 07:30:40,F,229,1317,883,8361
2026-07-14 07:30:40,E,141,1204,883,8361
2026-07-14 07:30:40,A,170,3055,883,8361
2026-07-14 07:30:40,C,304,1744,883,8361
2026-07-14 07:41:04,B,39,1041,950,8294
2026-07-14 07:41:04,F,238,1308,950,8294
2026-07-14 07:41:04,E,149,1196,950,8294
2026-07-14 07:41:04,A,178,3047,950,8294
2026-07-14 07:41:04,C,346,1702,950,8294
2026-07-14 08:00:52,B,39,1041,1186,8058
2026-07-14 08:00:52,F,282,1264,1186,8058
2026-07-14 08:00:52,E,194,1151,1186,8058
2026-07-14 08:00:52,A,216,3009,1186,8058
2026-07-14 08:00:52,C,455,1593,1186,8058
2026-07-14 08:30:42,B,39,1041,1204,8040
2026-07-14 08:30:42,F,291,1255,1204,8040
2026-07-14 08:30:42,E,195,1150,1204,8040
2026-07-14 08:30:42,A,215,3010,1204,8040
2026-07-14 08:30:42,C,464,1584,1204,8040
2026-07-14 08:41:04,B,39,1041,1204,8040
2026-07-14 08:41:04,F,291,1255,1204,8040
2026-07-14 08:41:04,E,195,1150,1204,8040
2026-07-14 08:41:04,A,215,3010,1204,8040
2026-07-14 08:41:04,C,464,1584,1204,8040
2026-07-14 09:00:47,B,39,1041,1204,8040
2026-07-14 09:00:47,F,291,1255,1204,8040
2026-07-14 09:00:47,E,195,1150,1204,8040
2026-07-14 09:00:47,A,215,3010,1204,8040
2026-07-14 09:00:47,C,464,1584,1204,8040
2026-07-14 09:30:41,B,93,987,1950,7294
2026-07-14 09:30:41,F,431,1115,1950,7294
2026-07-14 09:30:41,E,362,983,1950,7294
2026-07-14 09:30:41,A,257,2968,1950,7294
2026-07-14 09:30:41,C,807,1241,1950,7294
2026-07-14 09:39:08,B,144,936,2435,6809
2026-07-14 09:39:08,F,533,1013,2435,6809
2026-07-14 09:39:08,E,467,878,2435,6809
2026-07-14 09:39:08,A,314,2911,2435,6809
2026-07-14 09:39:08,C,977,1071,2435,6809
2026-07-14 10:00:47,B,345,735,3843,5401
2026-07-14 10:00:47,F,884,662,3843,5401
2026-07-14 10:00:47,E,661,684,3843,5401
2026-07-14 10:00:47,A,724,2501,3843,5401
2026-07-14 10:00:47,C,1229,819,3843,5401
2026-07-14 10:30:43,B,501,579,4753,4491
2026-07-14 10:30:43,F,1126,420,4753,4491
2026-07-14 10:30:43,E,755,590,4753,4491
2026-07-14 10:30:43,A,1029,2196,4753,4491
2026-07-14 10:30:43,C,1342,706,4753,4491
2026-07-14 11:00:45,B,628,452,5210,4034
2026-07-14 11:00:45,F,1192,354,5210,4034
2026-07-14 11:00:45,E,808,537,5210,4034
2026-07-14 11:00:45,A,1176,2049,5210,4034
2026-07-14 11:00:45,C,1406,642,5210,4034
2026-07-14 11:07:19,B,665,415,5303,3941
2026-07-14 11:07:19,F,1203,343,5303,3941
2026-07-14 11:07:19,E,820,525,5303,3941
2026-07-14 11:07:19,A,1197,2028,5303,3941
2026-07-14 11:07:19,C,1418,630,5303,3941
2026-07-14 11:30:41,B,731,349,5697,3547
2026-07-14 11:30:41,F,1252,294,5697,3547
